,Unnamed: 0,data,sentiment
0,0,đan co khuông mat de so qua,negative
1,1,xuân này con không về,negative
2,2,thằng chủ thịt nướng này nó làm giống y chang thằng chủ đảng,negative
3,3,12 tháng tù là quá nhẹ đấy.là thằng đàn ông mà bắt lạt phụ nữ hỏi có sứng đáng ko.đúng là giang hồ dởm,negative
4,4,theo tôi phạt 12 thág tù giam là chưa đủ mà phải đich thân tên thiện phải trực tiếp xin lỗi cô gái đó và đc quây video lên mạg để côg chug thấy cũng như phạt tiền để bồi thườg danh dự cho cô gái ấy đó cũg để làm gương cũg nhằm ngăn chặn tình trạg tươg tự xảy ra ,negative
5,5,chính quyền nào thì nhân dân đó có gì đâu mà lạ,negative
6,6,nó chơi thân với tụi do nên bắt chước mà tại nó chưa có cái thẻ đảng cho nên không có cái dây kinh nghiệm để rút nên phải gia nhập đoi,negative
7,7,"đẹp mặt qua đi,à cưng quá quỉ à ráng dữ dình sức khỏe nha đại ca giang hồ",positive
8,8,sao k thấy bắt ai toà án quỳ nhỉ  to lắm mà,negative
9,9,nó xin lôi rồi,negative
10,10,cái giá của đại ca,negative
11,11,pháp luật phải công minh tiếp tục vệ người bị hại.để người dân tin tưởng vào pháp luật,negative
12,12,đóng phim thôi,negative
13,14,sau một thời gian nghe ồn ào  thì có xem qua 15 giây clip của mẹ con nhà này  sau đó ẫn vĩnh viễn  vẫn biết mình thích hay không thích không ảnh hưởng đến họ  nhưng nghĩ rằng nếu có một cơ hội  thì nên bắt bỏ tù hết cái bộ “ văn hoá thông tin “ vì bọn ấy chỉ tốn cơm gạo của nhà nước,negative
14,15,thích thì pạt ý mà,positive
15,16,tối ko bao gi xem kiênh này,negative
16,17,gỡ bỏ tẩy chay đi,negative
17,18,tao dị ứng 2 mẹ con thằng này,negative
18,19,gỡ mẹ cái kênh nó luôn giùm,negative
19,20,thương mẹ quá,positive
20,22,mong mẹ luôn mạnh khoẻ thương mẹ quá,positive
21,23,nhớ ko lầm hiệp định geneve đã phân định ranh giới giữa hai miền rồi mà sao còn ngoan cố vượt biên chi cho sanh bắc tử nam zị,negative
22,24,mę öi chiên tranh thât tàn khôc mà mę ngày bé mę ôm con ru con ngû mong sao con đûng khóc thì mę ö con nge mę con ngoan rôi mę ôm con mę ru con ngû ngàn thu mę nhé,negative
23,25,nam mô a di đà phật cầu mong mẹ km bình an,negative
24,26,mong trời phật bù sức khỏe cho mẹ,negative
25,27,một thời đau thương,negative
26,28,nam mô a di đà phật cầu cho cụ luôn vui mạnh khoẻ,negative
27,29,nammoadidaphat,negative
28,32,nam mô a di đà phật,negative
29,33,rớt nước mắt khi xem hình ảnh này,negative
30,35,cặc page bán ròi ak,negative
31,36,đất nước gì kỳ chuyện sức khỏe cấp cao mà đem công bố toàn thế giới lẻ ra phải giấu như cs giấu cứt mới đúng chứ nhỉ ah mèo giấu cứt xí lộn,negative
32,37,thằng viết bài này đúng là vừa ngu vừa so sánh bậy  ông trump ổng bệnh ổng thông báo cho dân biết còn thằng viết thuộc loại chúa ngục mày không thấy hay không đọc tin  sức khỏe các nhân vật cấp cao thuộc về bí mật quốc gia à mấy ông bà âý bị hổng lẽ bao cho mày biết  đúng thằng viết bài thuộc loại  ăn ruột cùng rùa ,negative
33,38,vàng lại lên giá nữa,negative
34,39,an tam di sau 10 ngay nua co phim hay de coi  tau  dung ngoi k yen,negative
35,41,mới ăn tô bún mắm nên trộm vía nói đại 1 câu cho vui giờ mà ông mắc bịnh ở mẽo mà ko chết tự nhiên ông ở đông lào đang mạnh khoẻ  tao có bịnh chi mô  đột ngột từ trần thì các đại lý bia ở đông lào thu hoạch khá,negative
36,42,chuyện gì tới rồi cũng tới thôi haizz 7yy,negative
37,43,mắc hơi trễ phải chi dính hồi đầu năm thử coi mặt có xanh như đít nhái không thì bảo ,negative
38,44,mời ông sang vn chữa bệnh xong ông lại làm tổng thống nhé,negative
39,45,vn sát bên tq vậy mà trách đc dịch hoan hô vn chống dịch covis thành công,negative
40,46,mượn trump thủ dâm à ad,negative
41,47,bệnh chữa dc mà tổng thống binh an ,negative
42,48,tương kế tửu kế  trời sinh tập sao nở sinh trump,positive
43,49,tập và trump là 2 diễn viên xuất sắc nhất mọi thời đại ,negative
44,50,làm lộ bí mật quốc gia rồi chắc vô khám như chung con quá,negative
45,51,chả hiểu tin này nói lên điều gì,negative
46,53,tay chay may sao lon,negative
47,54,nhân dân khâm phục ông bao nhiêu thằng quan tham nhũng cướp của dân sấu hổ với ông,negative
48,55,tổng bí thư nên nhường chức chủ tịch nước cho anh hải.chỉ có anh hải mới xứng đáng là ct nước,negative
49,56,có ai biết khi còn là phó chủ tịch quận 1 sàigòn đi dẹp lòng lề đường ông đã làm và nói những gì,negative
50,58,chúc anh luôn mạnh khoẻ an toàn trên mọi nẻo đường giúp đỡ người nghèo,negative
51,59,quay đầu là bờ,negative
52,60,trong chính phủ bộ nội vụ bộ ngoại giao bộ giáo dục bộ y tế bộ xây dựng v.v mỗi bộ có chừng 10 ông có tâm có tầm có tài đất nước sẽ chuyển hóa như nhật-han-thai,negative
53,61,thôi về với gia đình đi rồi sem có ai tật nguyền ở trong đó đến cho họ ít tiền  có tuổi rồi đừng đi lại nhiều không may tai nạn lại khổ,negative
54,62,o hai truoc lam viec di cung dong chi dong doi ko thanh xin tu quan nay lam dan di dau cung mot minh lam viec gi cung mot minh nhungdat duoc nguyen vong lon,negative
55,63,chúc ông có được nhiều sức khỏe để làm những việc tốt mà ông muốn,negative
56,64,ai cũng như ông thì việt nam này phát triển biết bao,negative
57,65,chúc chu luôn khỏe mạnh,positive
58,66,cs đóng kịch hơi sâu nha,positive
59,67,chúc chú luôn vui khỏe,negative
60,68,chúc bác nhiều nhiều sức khỏe,negative
61,69,việc gì mà phải khổ như vậy chứ,negative
62,70,"nhiều khi làm vậy mà tốt,làm ct hay bt thì khó làm được việc như bác vì thời gian đâu có để làm",negative
63,71,cảm phục anh,negative
64,72,bác hai qua vi dai,positive
65,73,đầy tớ thật,negative
66,74,một tấm lòng nhân hậu,negative
67,75,chú là idol của tôi,negative
68,76,chuc ong nhieu suc khoe,negative
69,77,co len bac ak,negative
70,80,coi mang ng qua re mat nên tông cô no vê hôt cut la tôt nhât,negative
71,81,bằng cấp mua làm sao mổ được,negative
72,82,bức xúc xã hội này lắm ko đút lót cho bác sĩ thì ko ổn đâu,negative
73,83,cau nguyen on tren cho ngay tong thong trump binh phuc va that nhieu suc khoe va them 4 nam nua vi nuoc my va the gioi rat can ngay trump,negative
74,84,tg chỉ còn thiếu tàu cộng csvn và i ran là chưa gởi lời chúc trump mau bình phục putin kim un gởi lời chúc rồi,negative
75,85,cầu mong cho tổng thống trum sớm bình phục sức khỏe,negative
76,86,chúa sẽ phù hộ trump trump vĩ đại ,positive
77,87,chúc ông mau khỏe lai,negative
78,88,trump thắng chắc 100,positive
79,90,cau mong ngay tong thong trump binh phuc,negative
80,91,sao lâu nay không lên tiếng.giờ lên tiếng để làm gì,negative
81,92,thiên đường mà chơi toàn thứ giãy chết,negative
82,93,vãi lon chả ra làm sao,negative
83,94,bằng giả và đập đá mà vẫn lọt được vào cơ quan công an nơi chuyên truy bắt tội phạm thì quả là chuyện xưa nay hiếm,negative
84,95,chắc chắn rằng những chiếc cặp bộ vest có giá hàng triệu đồng không thể làm cho đại biểu sang hơn đại hội trang trọng hơn nhưng chúng sẽ khiến ngân sách ngày càng teo tóp dân ngày càng nặng gánh lo toan,negative
85,96,nhất quyết là phải có quà nhé,positive
86,97,chúc mừng ông mong ông cống hiến hết mình để phụng sự đất nước phụng sự nhân dân,negative
87,98,nó cho lên thứ trưởng để tách rời tay chân ở kiên giang ra rồi nó đập phát chết luôn đấy đừng tưởng bở,negative
88,99,ăn mặn khát nước,negative
89,100,việt nam mà cứ mỗi lần sai phạm rút kinh nghiệm rồi các bác ấy được thăng chức ngồi ghế cao hơn từ những việc sai phạm kinh nghiệm hơn lợi hại hơn xưa,negative
90,101,thao pham hạ hồi phân giải  bạn nhé ,negative
91,102,đỗ sinh ghế này càng đớp nhiều nữa nha,positive
92,103,hat bi thi moc cay bi hat ngo thi moc cay ngo hat giong tham nhung thi cho ra thang can bo tham nhung uom hat tham nhung ma muon ra cay liem chinh thi khong bao gio duoc,negative
93,104,sợi dây kinh nghiệm như tơ nhện rút hoài không hết,negative
94,105,tưởng đâu chỉ có tuyến tỉnh chơi lớn ai dè các huyện cũng chi mạnh không kém cạnh nói thêm dự toán ngân sách 2020 của tuyên quang thu dự kiến 2.309 tỷ và xin tw chi viện thêm 7.367 tỷ,negative
95,106,bí thư tỉnh ủy nên từ chức luôn sau khi trúng cử vì cái tội còn phải xin trung ương mà đã lãng phí,negative
96,107,may trang phục có vẽ hợp lý hơn,negative
97,108,một kỳ tích hay thách thức cả tử thần khi chỉ 3 ngày trump đã trở lại đường đua hy vọng sức khoẻ ông ổn,negative
98,109,người này xét nghiệm dương tính lần 1 liệu có phải dịch lại trở lại không,negative
99,110,mắt thấy tai nghe mà lòng buồn vô hạn,negative
100,111,chị là con đồng chí nào ai chống lưng cho chị hay ăn chia dự án thế nào mà lại có sự tréo ngoe ngược đời như thế này rồi lấy gì để chị làm dự án,negative
101,112,không hổ danh mưu thâm kế hiểm dưới chiêu bài đầu tư trung quốc đã nắm trong tay yết hầu nam trung bộ của đất nước gọn ơ có khả năng chia cắt đất nước bằng một đợt đổ bộ quân sự chớp nhoáng mà nếu không kịp hóa giải thì chắc chắn hiểm họa cực kỳ khôn lường,negative
102,113,còn bây giờ thì người ta đề xuất bán cùng lúc 4 dự án điện khủng cho nước ngoài ngay khu vực biên giới nhạy cảm này bán dự án bán đất hay bán luôn đất nước,negative
103,114,giặc ở đâu xa giặc ở sau lưng nhà ngươi đó câu nói của thần kim quy chưa bao giờ nhạt phai trong tâm trí người việt thứ giặc này còn nguy hiểm hơn giặc trước mắt không thể đề phòng hết được vì tiền bẩn thỉu mà sẵn sàng bán cả quốc gia phản bội dân tộc rước tq vào tận khu trọng yếu an ninh để dễ bề thôn tính,negative
104,115,"428 đại biểu tham dự đại hội đảng bộ tỉnh và thành phố tuyên quang mỗi người được may một bộ trang phục dự đại hội dâng tặng tận nhà tất cả quần áo may cho đại biểu đều dùng vải của ý cúc áo khoá quần và chỉ may là hàng nhập từ đức thậm chí vải lót phải của nhật thế cho nên mỗi bộ trang phục có giá 6 triệu đồng vậy là để may quần áo đắp lên người 428 đại biểu đã tốn 2,568 tỉ đồng và nó được nhét vào hạng mục “chi thường xuyên” một tỉnh có đến gần 30 hộ dân đang thuộc diện nghèo một tỉnh năm nào cũng phải ngửa tay xin tiền trung ương vài ngàn tỉ đồng như năm 2020 dự kiến khoảng 7.300 tỉ đồng mà lãnh đạo tỉnh lại sính ngoại đắp lên người cán bộ quần là áo lượt mỗi bộ tới 6 triệu đồng mỗi bộ quần áo cán bộ tuyên quang mặc dự đại hội như một cái tát vào mặt nhân dân một sự thử thách giới hạn chịu đựng của người dân hay sao",negative
105,116,vê quâng bỉnh nhân câp gia núa là môtf,negative
106,117,"nghèo thì mới có tiền tích kiệm cho các đồng chí mặc đẹp còn để ra oai với dân,mặc đẹp thì mới dám ngửa tay xin tiền trung ương",negative
107,118,trống tham nhũng thế nào được,positive
108,119,một bộ vậy mai không thay sao,negative
109,120,vậy là đại gia trịnh thanh huy gắn liền với masan và phạm đăng quang lại tiếp tục xin phá sản vị đại gia này liên tục có loạt công ty phá sản mà lần nào cũng là vì không có khả năng trả nợ mất vốn,negative
110,121,cán bộ lãnh đạo sướng nhỉ chỉ sau vài năm là có khối tài sản lớn chắc chắn không phải đến từ đồng lương điều khôi hài là giải thích khi được báo chí hỏi nói đây là tiền của cả dòng họ nhờ vợ ông đứng tên thay để gửi vào ngân hàng liệu ai có thể tin tưởng vào việc đưa tiền cho bà con giữ giùm hàng triệu đô la trong ngân hàng  hiệu trưởng trường đại học gửi ngân hàng 2 triệu đô và 100 tỷ đồng dù chỉ là hiệu trưởng ở trường đại học hàng hải nhưng ông lương công nhớ đã có khối tài sản gần 100 tỷ đồng và gần 2 triệu đô được gửi tiết kiệm trong ngân hàng oceanbank ở việt nam đây là chưa tính đến những tài sản khác mà gia đình ông nhớ đang sở hữu như bất động sản những tài sản này của ông nhớ bị lộ vì liên quan đến vụ án tham nhũng tài sản của các lãnh đạo nhân viên oceanbank dư luận cũng thắc mắc bằng cách gì ông nhớ đã có được số tiền trên đây có phải tiền tham nhũng từ các sinh viên và từ việc bán các bằng cấp học thuật thạc sĩ tiến sĩ chui theo báo dân việt loan tin vào ngày 2 tháng 10 năm 2020 số tiền gần 100 tỷ đồng và gần 2 triệu mỹ kim được ông nhớ đứng tên và chia ra cho vợ cùng 2 con của mình đứng tên trong các sổ tiết kiệm giải thích cho nguồn gốc của số tiền này ông nhớ nói với báo dân việt đây là tiền của cả dòng họ nhờ vợ ông đứng tên thay để gửi vào ngân hàng,negative
111,122,"loại sâu mọt,côn trùng hút máu đầy dẫy trong nước có đốt cỡ nào cũng không hết được làm cho dân tình khốn đốn mà ko há miệng được,chỉ mong chờ trái đất đảo ngược may ra “loại “ này mới có thể biến mất",negative
112,123,dòng họ bên vợ nhà ông này giỏi thật nghe nói đâu nhờ buôn chổi đót chạy xe ôm nuôi vịt chăn heo giàu lắm ông này lên tiếng mượn thêm có khi bà con bên vợ vẫn cho mượn không chừng,negative
113,124,nếu tôi là người trong dòng họ sẽ công khai đòi lại tiền ngay mặc dù chẳng có gửi đông nào cho bố già dám chắc vợ chồng ông ta nhảy dựng lên và tăng sông liền ,negative
114,125,an phu minh chuẩn cả dòng họ tranh thủ cơ hội đi còn kịp,positive
115,126,sớm được cụ tổng hỏi thăm thôi,negative
116,127,phải tranh thủ khi còn đương chức chứ ,negative
117,128,ông ấy là người tốt được tin tưởng người ta mới gửi giữ hộ các vị lắm chuyện quá,negative
118,129,truyện tào lao của mấy ông cs anh nhề,negative
119,131,văn phấn tư tưởng không tham lam tâm hồn sẽ thanh thản tự nhiên giống như mình đang sống ở thế giới cực lạc sư huynh ạ ha ha,negative
120,132,luc nguyen có mình nghèo không tham được nhỉ,negative
121,133,công an vào cuộc là biết trong hay đục ngay mà,negative
122,134,thanh hà cái chính là có được chỉ đạo đốt lò hay không thôi a này còn nổi danh món cờ bạc khi còn đương chức,negative
123,136,dòng họ nhà ông này chắc giàu có lắm toàn buôn bán làm ăn lớn thì mới nhiều tiền như thế mà đã nhiều tiền như thế hợp pháp thì gửi tiền nhờ ông ấy làm gì để ông phải giải trình mà ông ấy không gt đc nn thu thì mất hết à sao dòng họ nhà ông này ngu thế nhỉ,negative
124,137,những loại quan tham như ông thì chỉ có tiền cho vào công quỹ nhà nước song cho ngồi ngồi tù lam gương cho những kẻ quan tham khác sáng mắt ra nghe trưa bỏ bỏ tù hết những quan tham đất nước này dân mấy đỡ khổ,negative
125,138,kiểm tra kinh tế bất minh như những năm 80 đã làm ý lòi ra hết làm gì có tham nhũng lớn như bây giờ,negative
126,139,ông này quên rằng trong nhân gian có câu đéo tin bố con thằng nào với lại người đã làm ra tiền tỉ thì họ quá khôn để giữ tiền chứ chẳng dại gì cho ai đó đứng tên gửi vào ngân hàng,negative
127,140,giòng tộc nhà ông ấy ko biết chữ b hay sợ cb ngaha ăn trộm  thể là cb ngaha trộm thật chúng ko nể nang gì,negative
128,141,nước nghèo dân khổ đi culi khắp thế giới là phải rồi,negative
